repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/yangshun/tech-interview-handbook,2017-10-04T17:00:29Z,MERGED,2,3,2,17,0,2017-10-03T21:42:09Z,MDExOlB1bGxSZXF1ZXN0MTQ0NTM2MTY3
https://github.com/yangshun/tech-interview-handbook,2017-10-10T02:48:24Z,MERGED,1,2,2,54,0,2017-10-09T18:01:44Z,MDExOlB1bGxSZXF1ZXN0MTQ1NTEzNjgy
https://github.com/yangshun/tech-interview-handbook,2018-01-20T17:31:26Z,CLOSED,1,1,2,29,83,2018-01-20T06:08:46Z,MDExOlB1bGxSZXF1ZXN0MTY0MTEzNTAx
https://github.com/yangshun/tech-interview-handbook,2018-03-29T07:49:40Z,MERGED,1,1,2,24,99,2018-03-29T06:41:32Z,MDExOlB1bGxSZXF1ZXN0MTc4MjM5NDE1
https://github.com/yangshun/tech-interview-handbook,2018-10-13T00:17:37Z,MERGED,1,1,2,2,10,2018-10-12T19:22:26Z,MDExOlB1bGxSZXF1ZXN0MjIyNTYyNjc4
https://github.com/yangshun/tech-interview-handbook,2018-10-31T17:25:19Z,MERGED,1,1,2,4,316,2018-10-31T09:53:18Z,MDExOlB1bGxSZXF1ZXN0MjI3MjIwNjc4
https://github.com/yangshun/tech-interview-handbook,2019-07-14T23:03:19Z,MERGED,1,0,2,2,0,2019-03-27T11:34:56Z,MDExOlB1bGxSZXF1ZXN0MjY0ODg2ODM2
https://github.com/yangshun/tech-interview-handbook,2019-07-14T23:05:17Z,MERGED,1,0,2,2,176,2019-06-05T13:36:20Z,MDExOlB1bGxSZXF1ZXN0Mjg1Mzc4MTkz
https://github.com/yangshun/tech-interview-handbook,2019-08-18T21:00:43Z,MERGED,1,1,3,2,342,2019-08-18T17:17:19Z,MDExOlB1bGxSZXF1ZXN0MzA4Mzc5NzM0
https://github.com/yangshun/tech-interview-handbook,2019-08-20T16:08:16Z,MERGED,1,0,2,11,39,2019-08-20T14:06:48Z,MDExOlB1bGxSZXF1ZXN0MzA5MDY5MTUx
https://github.com/yangshun/tech-interview-handbook,2019-08-24T12:53:57Z,MERGED,1,0,2,2,51,2019-08-24T07:27:04Z,MDExOlB1bGxSZXF1ZXN0MzEwNTkwOTkz
https://github.com/yangshun/tech-interview-handbook,2019-08-25T13:37:54Z,MERGED,1,1,2,1,0,2019-08-25T05:49:25Z,MDExOlB1bGxSZXF1ZXN0MzEwNjYwNDM2
https://github.com/yangshun/tech-interview-handbook,2019-09-13T18:46:55Z,MERGED,5,5,3,60,789,2019-09-08T05:29:07Z,MDExOlB1bGxSZXF1ZXN0MzE1MjQ2OTAy
https://github.com/yangshun/tech-interview-handbook,2019-09-11T10:21:27Z,MERGED,1,0,2,2,76,2019-09-11T04:01:29Z,MDExOlB1bGxSZXF1ZXN0MzE2MjYxNjE3
https://github.com/yangshun/tech-interview-handbook,2019-09-21T20:09:22Z,MERGED,1,0,2,2,173,2019-09-21T17:55:29Z,MDExOlB1bGxSZXF1ZXN0MzE5OTc4NDY2
https://github.com/yangshun/tech-interview-handbook,2019-09-21T22:53:01Z,MERGED,1,0,2,2,42,2019-09-21T21:34:26Z,MDExOlB1bGxSZXF1ZXN0MzE5OTkzMTQ4
https://github.com/yangshun/tech-interview-handbook,2019-12-31T11:42:57Z,MERGED,1,0,2,2,0,2019-12-26T23:14:47Z,MDExOlB1bGxSZXF1ZXN0MzU3MDg0MTQ5
https://github.com/yangshun/tech-interview-handbook,2020-03-15T05:23:56Z,MERGED,2,1,2,17,647,2020-01-07T04:04:20Z,MDExOlB1bGxSZXF1ZXN0MzU5ODEzNzI4
https://github.com/yangshun/tech-interview-handbook,2020-03-15T05:24:49Z,MERGED,1,0,2,1,0,2020-03-02T11:19:57Z,MDExOlB1bGxSZXF1ZXN0MzgyMzI2ODMx
https://github.com/yangshun/tech-interview-handbook,2020-03-06T16:41:49Z,MERGED,1,0,3,2,0,2020-03-05T17:11:43Z,MDExOlB1bGxSZXF1ZXN0Mzg0Mzk5MzY1
https://github.com/yangshun/tech-interview-handbook,2020-03-06T16:40:54Z,MERGED,1,0,3,2,0,2020-03-05T17:24:18Z,MDExOlB1bGxSZXF1ZXN0Mzg0NDA1MzUw
https://github.com/yangshun/tech-interview-handbook,2020-04-22T02:57:52Z,CLOSED,1,0,2,4,95,2020-04-22T01:38:56Z,MDExOlB1bGxSZXF1ZXN0NDA2OTkyODk5
https://github.com/yangshun/tech-interview-handbook,2020-06-25T06:26:33Z,CLOSED,1,2,2,19,158,2020-05-06T03:36:55Z,MDExOlB1bGxSZXF1ZXN0NDEzODU5ODUz
https://github.com/yangshun/tech-interview-handbook,2020-05-11T02:08:32Z,MERGED,1,1,2,5,190,2020-05-11T00:32:24Z,MDExOlB1bGxSZXF1ZXN0NDE1ODA3MzU2
https://github.com/yangshun/tech-interview-handbook,2020-07-07T02:51:28Z,MERGED,1,0,2,2,794,2020-07-06T20:05:26Z,MDExOlB1bGxSZXF1ZXN0NDQ0OTc2MDYy
https://github.com/yangshun/tech-interview-handbook,2020-08-10T07:40:11Z,MERGED,1,0,1,6,13078,2020-08-08T00:08:19Z,MDExOlB1bGxSZXF1ZXN0NDY0ODk3Mzc1
https://github.com/yangshun/tech-interview-handbook,2020-09-25T11:24:44Z,CLOSED,4,0,3,2,248,2020-08-18T15:59:33Z,MDExOlB1bGxSZXF1ZXN0NDY5NTkyMDM4
https://github.com/yangshun/tech-interview-handbook,2020-09-25T08:54:54Z,MERGED,1,0,2,2,442,2020-08-30T10:27:40Z,MDExOlB1bGxSZXF1ZXN0NDc1ODkyNTY3
https://github.com/yangshun/tech-interview-handbook,2020-09-25T11:24:11Z,MERGED,1,0,2,2,0,2020-09-25T09:55:43Z,MDExOlB1bGxSZXF1ZXN0NDkyOTY0NjYz
https://github.com/yangshun/tech-interview-handbook,2020-10-04T08:41:20Z,MERGED,1,0,2,8,381,2020-10-03T13:24:30Z,MDExOlB1bGxSZXF1ZXN0NDk3Mjc1ODQx
https://github.com/yangshun/tech-interview-handbook,2021-03-29T09:58:59Z,MERGED,1,0,2,2,200,2021-02-25T14:31:19Z,MDExOlB1bGxSZXF1ZXN0NTgwMTQyNjIx
