repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/CyC2018/CS-Notes,2018-08-04T15:10:20Z,CLOSED,1,1,3,10,112,2018-08-03T05:42:01Z,MDExOlB1bGxSZXF1ZXN0MjA1OTMwNTcw
https://github.com/CyC2018/CS-Notes,2019-05-14T16:08:25Z,CLOSED,2,0,3,32,0,2019-03-10T13:48:23Z,MDExOlB1bGxSZXF1ZXN0MjU5NzYwNzMw
https://github.com/CyC2018/CS-Notes,2019-03-26T06:41:32Z,MERGED,1,3,2,2,332,2019-03-17T15:08:34Z,MDExOlB1bGxSZXF1ZXN0MjYxODQ5MTg4
https://github.com/CyC2018/CS-Notes,2019-06-19T02:53:36Z,MERGED,1,0,3,5,0,2019-03-18T12:45:55Z,MDExOlB1bGxSZXF1ZXN0MjYyMDQwNTQ3
https://github.com/CyC2018/CS-Notes,2019-09-15T15:49:01Z,CLOSED,1,1,3,44,46,2019-07-03T03:55:29Z,MDExOlB1bGxSZXF1ZXN0MjkzOTkyMDE3
https://github.com/CyC2018/CS-Notes,2020-05-26T17:51:56Z,MERGED,1,0,3,2,10,2020-03-03T15:46:38Z,MDExOlB1bGxSZXF1ZXN0MzgzMDI3MTA0
https://github.com/CyC2018/CS-Notes,2020-05-26T17:48:11Z,MERGED,1,0,3,2,20,2020-03-11T06:17:41Z,MDExOlB1bGxSZXF1ZXN0Mzg2NTA0MzU3
https://github.com/CyC2018/CS-Notes,2020-05-26T17:33:47Z,MERGED,1,0,3,2,46,2020-04-25T09:14:35Z,MDExOlB1bGxSZXF1ZXN0NDA4ODc2OTkw
https://github.com/CyC2018/CS-Notes,2020-05-26T17:37:08Z,MERGED,1,2,3,2,17,2020-04-26T05:12:52Z,MDExOlB1bGxSZXF1ZXN0NDA5MDE4NDkz
https://github.com/CyC2018/CS-Notes,2020-05-26T17:29:15Z,CLOSED,1,2,4,50,264,2020-05-09T07:03:41Z,MDExOlB1bGxSZXF1ZXN0NDE1NTMwMTg0
https://github.com/CyC2018/CS-Notes,2020-11-01T15:46:10Z,MERGED,1,0,3,2,272,2020-10-12T15:27:29Z,MDExOlB1bGxSZXF1ZXN0NTAxNjUwOTA5
https://github.com/CyC2018/CS-Notes,2020-11-01T14:30:52Z,CLOSED,2,1,3,28,0,2020-10-28T15:08:39Z,MDExOlB1bGxSZXF1ZXN0NTExNjIwNzUw
https://github.com/CyC2018/CS-Notes,2018-08-04T15:10:20Z,CLOSED,1,1,3,10,112,2018-08-03T05:42:01Z,MDExOlB1bGxSZXF1ZXN0MjA1OTMwNTcw
https://github.com/CyC2018/CS-Notes,2019-05-14T16:08:25Z,CLOSED,2,0,3,32,0,2019-03-10T13:48:23Z,MDExOlB1bGxSZXF1ZXN0MjU5NzYwNzMw
